term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,dropped_state,outcome,treatment,diff_n,inference_standard
d3_l1_disp_top10_share_z,-0.6216930547113676,0.9482344389192556,-0.6556322246847925,0.5151274770113078,-2.527241502156642,1.2838553927339071,long_diff_3y,148,rich,Arkansas,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7746536348314018,0.9301817804960706,-0.832798116534034,0.40899947326610797,-2.643923906945091,1.0946166372822876,long_diff_3y,149,rich,California,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8779752364246584,0.9142517080477917,-0.9603211333336257,0.34160857598912475,-2.7152328294206116,0.959282356571295,long_diff_3y,148,rich,Colorado,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.5948317945822341,0.9037800491104588,-0.6581599086721315,0.513515897732223,-2.4110458010860603,1.221382211921592,long_diff_3y,148,rich,Connecticut,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.6661093207005314,0.911032391749887,-0.7311587674957266,0.46816432879894687,-2.496897455383729,1.164678813982666,long_diff_3y,148,rich,Delaware,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.47223472050809706,0.9525307047221778,-0.49576850191494093,0.6222741282848794,-2.386416837323049,1.4419473963068552,long_diff_3y,148,rich,District of Columbia,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9210086212338113,0.9070627082237938,-1.0153748058249759,0.3149147875813434,-2.743819378203732,0.9018021357361095,long_diff_3y,148,rich,Florida,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.742094018821259,0.9273100749525168,-0.8002652390671569,0.427420134326023,-2.605593382586296,1.121405344943778,long_diff_3y,148,rich,Georgia,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-1.0154065344930088,0.9200410441513217,-1.1036535173598212,0.27513410782626463,-2.8642982339620344,0.8334851649760169,long_diff_3y,148,rich,Hawaii,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7976228004290197,0.9616359114210784,-0.8294436500923881,0.41087601584716904,-2.7301025151550258,1.1348569142969867,long_diff_3y,148,rich,Idaho,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7520264168844257,0.9320100079294074,-0.806886632639449,0.4236311124789186,-2.624970649575989,1.1209178158071376,long_diff_3y,148,rich,Illinois,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9393283815137399,0.9332723015282592,-1.006489081456252,0.3191249287820622,-2.8148092881635427,0.936152525136063,long_diff_3y,148,rich,Indiana,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.6845818057612706,0.918681639376357,-0.745178499731415,0.45972336078358866,-2.530741679057292,1.1615780675347507,long_diff_3y,148,rich,Iowa,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.5738026177239737,0.8920669999882908,-0.6432281630544627,0.5230750346290498,-2.3664783707606123,1.2188731353126652,long_diff_3y,148,rich,Kansas,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7552694176904573,0.9223282664764364,-0.8188726781363942,0.4168239739796179,-2.6087574625058423,1.098218627124928,long_diff_3y,148,rich,Kentucky,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9396514731468635,0.8998674971066818,-1.0442109267954427,0.30151212765244534,-2.7480029120299188,0.868699965736192,long_diff_3y,148,rich,Louisiana,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.811332100441619,0.9406274123654322,-0.8625435425077934,0.3925904711568463,-2.7015936556961453,1.0789294548129076,long_diff_3y,148,rich,Maine,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9121074306740707,0.9566502955600797,-0.9534387172692703,0.3450477626023448,-2.8345681752239753,1.0103533138758336,long_diff_3y,148,rich,Maryland,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7874196816325162,0.8941670951525124,-0.8806180476795683,0.38282354232189253,-2.5843157339067897,1.009476370641757,long_diff_3y,148,rich,Massachusetts,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8701943915366631,0.9268227076856193,-0.9389005948177905,0.35238710659500605,-2.7327143541107555,0.9923255710374291,long_diff_3y,148,rich,Michigan,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7735613006411051,0.9273044798448888,-0.8342042095714878,0.408214448493743,-2.637049420616404,1.0899268193341938,long_diff_3y,148,rich,Minnesota,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8128248297685341,0.9241371394235095,-0.8795500095100456,0.3833963780497319,-2.6699479408654705,1.0442982813284023,long_diff_3y,148,rich,Mississippi,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.6377171497156128,0.9354686410132576,-0.6817087412196589,0.49863278071177297,-2.5176117658067976,1.2421774663755718,long_diff_3y,148,rich,Missouri,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8649336818143595,0.9663078315424083,-0.8950912468894755,0.3751143135788849,-2.806801971526036,1.076934607897317,long_diff_3y,148,rich,Montana,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8222212005805623,0.9699154887532552,-0.8477245802492117,0.40071331236638164,-2.7713393488872073,1.1268969477260828,long_diff_3y,148,rich,Nebraska,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.5539903450590219,0.9353149754120225,-0.5923035123167781,0.5563708397216778,-2.433576158563166,1.325595468445122,long_diff_3y,148,rich,Nevada,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.39800157966208777,0.8787882698170357,-0.4528981477471837,0.6526211705278341,-2.1639927253660516,1.3679895660418762,long_diff_3y,148,rich,New Hampshire,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9933017278744376,0.9561163146784305,-1.0388921437958243,0.30395434184371817,-2.9146893976674795,0.928085941918604,long_diff_3y,149,rich,New Jersey,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.4706305697103293,0.954264247391607,-0.4931868410628968,0.6240837192510824,-2.3882963709462732,1.4470352315256148,long_diff_3y,148,rich,New Mexico,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-1.0811150505849445,0.910535121844223,-1.1873403064290635,0.2408175755664723,-2.9109038839795502,0.7486737828096612,long_diff_3y,147,rich,New York,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8160167799868817,0.9398557939806859,-0.8682361541132884,0.38949767796227186,-2.704727710042908,1.072694150069145,long_diff_3y,148,rich,North Carolina,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.6894753799742472,0.9418135542369528,-0.7320720506436678,0.46761178023924155,-2.5821205765615036,1.2031698166130091,long_diff_3y,148,rich,North Dakota,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8067814149682447,0.9155947430537971,-0.8811555779332835,0.38253544589217847,-2.6467379378548643,1.0331751079183746,long_diff_3y,148,rich,Ohio,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-1.0233907262560158,0.9165516490427345,-1.116566346615454,0.2696252375408702,-2.8652702237222645,0.8184887712102329,long_diff_3y,148,rich,Oklahoma,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7714371067624491,0.9208877064359161,-0.8377102890732671,0.4062610304077179,-2.622030237792807,1.0791560242679088,long_diff_3y,148,rich,Oregon,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.6693156058217452,0.9461789452376553,-0.7073879726351665,0.4826764077699679,-2.5707333840644004,1.2321021724209098,long_diff_3y,147,rich,Pennsylvania,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.6315457038385691,0.9164592023519539,-0.6891149133729059,0.494001317797636,-2.4732394227242707,1.2101480150471327,long_diff_3y,148,rich,Rhode Island,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-1.2867240725161284,0.8929005063890504,-1.4410609729853632,0.15592770459311797,-3.0810748193757225,0.5076266743434656,long_diff_3y,148,rich,South Carolina,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
