term,estimate,std.error,statistic,p.value,conf.low,conf.high,h,outcome,treatment,spec,weighted,weight_var,control_count,treatment_role
l1_disp_mean_median_gap_z,-0.00209036047303766,0.0018453855514301248,-1.1327499943942263,0.26272208642249856,-0.005796926437701725,0.001616205491626404,1,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,1.909012713363596e-4,0.002537485635371291,0.07523245399906528,0.9403299688453166,-0.004905788623413435,0.005287591166086155,2,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.0033471913835766243,0.002722689576685606,1.2293694485917999,0.22468732011642598,-0.0021214915750970118,0.00881587434225026,3,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.002609346045193076,0.0013893930073867694,1.8780474864349916,0.06621261128068856,-1.8133194008269904e-4,0.005400024030468851,0,fair_poor_health_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.0012965759609218325,0.001515275003746175,0.8556703949555965,0.3962621157723105,-0.0017469434551910614,0.004340095377034727,1,fair_poor_health_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.0026466729224549445,0.0019117739647065669,1.3844068238795038,0.17238168426970804,-0.0011932380946334284,0.006486583939543317,2,fair_poor_health_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.0022870051384184377,0.00298066558907457,0.7672800151755708,0.4465232153297156,-0.003699837890642471,0.008273848167479347,3,fair_poor_health_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,-0.0016799584654620537,0.0018606812001514153,-0.9028728109497451,0.3709226556876669,-0.005417246644740758,0.002057329713816651,0,log_real_pce_pc,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,-0.002263385352248425,0.0030674076767421097,-0.7378821437430724,0.46403523212807773,-0.008424454991896613,0.0038976842873997635,1,log_real_pce_pc,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,-0.0021222028735489594,0.004983237136556059,-0.42586832923941986,0.67203147035125,-0.012131329231937533,0.007886923484839615,2,log_real_pce_pc,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.0059365759578678895,0.005468624660638478,1.0855701984079442,0.28287550468288525,-0.005047479934916455,0.016920631850652235,3,log_real_pce_pc,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.01919229692074686,0.18771304410941717,0.102242745099588,0.9189729470466684,-0.357840448285395,0.39622504212688875,0,real_pce_pc_growth,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.2998949417343586,0.21492474352976979,1.3953486081178892,0.169077597154678,-0.13179411029827948,0.7315839937669967,1,real_pce_pc_growth,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.6140293861141125,0.30233246036756384,2.030974065330596,0.047591519402084136,0.006776767959000063,1.221282004269225,2,real_pce_pc_growth,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,0.6924059590738755,0.5140390835644482,1.346990883013401,0.18405671029386367,-0.34007192619542115,1.724883844343172,3,real_pce_pc_growth,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
l1_disp_top10_share_z,2.0866892212907784e-4,6.58545879574514e-4,0.31686315046705427,0.7526667048078992,-0.0011140594050267224,0.0015313972492848782,0,frequent_mental_distress_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,4.2532374437973187e-4,5.959265430412647e-4,0.7137184093346896,0.4787197751932126,-7.716299437885066e-4,0.0016222774325479704,1,frequent_mental_distress_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,7.059797701601211e-4,7.617994445895344e-4,0.92672654879725,0.3585203624087686,-8.241394458634866e-4,0.002236098986183729,2,frequent_mental_distress_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,2.283267897508531,1.150855650317704,1.9839741820602907,0.05276199060606061,-0.028293705649740097,4.594829500666802,3,frequent_mental_distress_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,8.10434255872102e-4,4.426696798608081e-4,1.8307878148034282,0.0730948272473633,-7.869396326305061e-5,0.0016995624750072546,0,fair_poor_health_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,0.0014729657896213908,5.096841193156889e-4,2.8899581795858604,0.005684917780958696,4.492351074768125e-4,0.002496696471765969,1,fair_poor_health_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,0.0019033363663466093,8.462196442730401e-4,2.2492226211336703,0.02893363298108436,2.036541890033303e-4,0.0036030185436898886,2,fair_poor_health_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,0.9928419982954595,1.2195736283047591,0.8140894286764279,0.4194540456841651,-1.4567437257138507,3.4424277223047697,3,fair_poor_health_rate,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,-9.6233065181921e-4,8.217255254103549e-4,-1.1711096005428814,0.24710571000076378,-0.0026128149435279634,6.881536398895435e-4,0,log_real_pce_pc,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,-9.765247082983082e-4,9.599460383941092e-4,-1.0172704185872088,0.3139220966178264,-0.002904633070839823,9.515836542432066e-4,1,log_real_pce_pc,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,-0.00208734752722261,0.0014855505364231333,-1.4051003153675719,0.1661743160138508,-0.005071163593641468,8.964685391962472e-4,2,log_real_pce_pc,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,3.5303829254073547,2.0057120072360903,1.7601644267325747,0.084496201294806,-0.49820820297660173,7.558974053791311,3,log_real_pce_pc,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,0.13758241309709346,0.07001382166319742,1.965075035597054,0.05497359382591239,-0.0030444863775193343,0.2782093125717062,0,real_pce_pc_growth,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,0.21634907648219842,0.08039437045024504,2.6910973401563467,0.00965904546275183,0.05487223115275461,0.3778259218116422,1,real_pce_pc_growth,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,216.480251413971,125.09118806702338,1.7305795456829596,0.08969490343080753,-34.77279422155877,467.7332970495007,2,real_pce_pc_growth,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_disp_top10_share_z,320.6484210102367,199.55529433507596,1.606814903501541,0.11439261737795546,-80.17018379442942,721.4670258149029,3,real_pce_pc_growth,l1_disp_top10_share_z,rich,FALSE,NA,13,primary
l1_acs_gini_z,-3.99862694458392e-4,0.0014826580765972784,-0.26969312801781153,0.7885062995664198,-0.003377869084337643,0.0025781436954208587,0,frequent_mental_distress_rate,l1_acs_gini_z,rich,FALSE,NA,13,alternative
l1_acs_gini_z,-7.406132380267238e-4,0.001930149728971215,-0.38370766107429216,0.7028219612153179,-0.004617433063870671,0.0031362065878172236,1,frequent_mental_distress_rate,l1_acs_gini_z,rich,FALSE,NA,13,alternative
l1_acs_gini_z,0.0032313634528203976,0.002694805933277555,1.1991080370267164,0.2361379342857302,-0.0021813135598074294,0.008644040465448224,2,frequent_mental_distress_rate,l1_acs_gini_z,rich,FALSE,NA,13,alternative
l1_acs_gini_z,-0.0025167875555859513,0.00439231233146711,-0.572998312883023,0.5692139195320727,-0.01133900651214675,0.006305431400974847,3,frequent_mental_distress_rate,l1_acs_gini_z,rich,FALSE,NA,13,alternative
l1_acs_gini_z,8.258169651466453e-4,0.00162504894441438,0.5081797492839488,0.6135620882649051,-0.00243818989976658,0.004089823830059871,0,fair_poor_health_rate,l1_acs_gini_z,rich,FALSE,NA,13,alternative
